,Employee_ID,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Name
0,EMP1000,25.0,DevOps-California,Active,4/2/2021,59767.65,bob.davis@example.com,-1651623197,Average,1,Bob_Davis
1,EMP1001,32.48454882571075,Finance-Texas,Active,7/10/2020,65304.66,bob.brown@example.com,-1898471390,Excellent,1,Bob_Brown
2,EMP1002,32.48454882571075,Admin-Nevada,Pending,12/7/2023,88145.9,alice.jones@example.com,-5596363211,Good,1,Alice_Jones
3,EMP1003,25.0,Admin-Nevada,Inactive,11/27/2021,69450.99,eva.davis@example.com,-3476490784,Good,1,Eva_Davis
4,EMP1004,25.0,Cloud Tech-Florida,Active,1/5/2022,109324.61,frank.williams@example.com,-1586734256,Poor,0,Frank_Williams
5,EMP1005,40.0,Sales-Texas,Inactive,6/10/2020,88642.84,alice.garcia@example.com,-5409003485,Good,0,Alice_Garcia
6,EMP1006,32.48454882571075,Admin-Nevada,Active,4/3/2020,96288.43,frank.jones@example.com,-4518376063,Good,0,Frank_Jones
7,EMP1007,30.0,Cloud Tech-Florida,Inactive,7/17/2022,94497.91,bob.jones@example.com,-4134327559,Average,1,Bob_Jones
8,EMP1008,35.0,Admin-Nevada,Inactive,12/8/2023,115565.82,frank.davis@example.com,-4177656123,Excellent,1,Frank_Davis
9,EMP1009,32.48454882571075,DevOps-New York,Active,8/4/2022,76561.88,charlie.johnson@example.com,-8156985699,Excellent,1,Charlie_Johnson
10,EMP1010,35.0,Cloud Tech-New York,Active,7/6/2024,72081.71,david.williams@example.com,-2720634590,Average,0,David_Williams
11,EMP1011,32.48454882571075,DevOps-California,Active,9/4/2023,84946.19,david.davis@example.com,-1238296576,Poor,1,David_Davis
12,EMP1012,30.0,HR-New York,Active,3/5/2024,89295.77,heidi.williams@example.com,-2429543164,Excellent,0,Heidi_Williams
13,EMP1013,32.48454882571075,Finance-California,Active,10/10/2020,85666.84,grace.williams@example.com,-2669300892,Good,0,Grace_Williams
14,EMP1014,25.0,Admin-Nevada,Active,6/10/2024,97633.68,alice.garcia@example.com,-1734206968,Excellent,1,Alice_Garcia
15,EMP1015,40.0,Sales-Florida,Pending,5/29/2021,117975.49,grace.jones@example.com,-4215291085,Good,1,Grace_Jones
16,EMP1016,25.0,DevOps-Illinois,Inactive,4/23/2024,94867.33,alice.brown@example.com,-7713334475,Poor,0,Alice_Brown
17,EMP1017,30.0,Finance-Texas,Pending,11/28/2024,100377.65,grace.garcia@example.com,-2639343625,Average,1,Grace_Garcia
18,EMP1018,32.48454882571075,Cloud Tech-Nevada,Inactive,9/19/2024,94726.46,charlie.garcia@example.com,-2044397358,Excellent,0,Charlie_Garcia
19,EMP1019,35.0,Admin-Illinois,Pending,1/2/2020,91926.12,charlie.williams@example.com,-7107256365,Average,1,Charlie_Williams
20,EMP1020,35.0,HR-New York,Active,5/8/2021,111460.67,bob.miller@example.com,-9411800536,Excellent,1,Bob_Miller
21,EMP1021,40.0,Cloud Tech-Illinois,Active,9/19/2020,96182.56,bob.jones@example.com,-5990048963,Good,0,Bob_Jones
22,EMP1022,35.0,Sales-Illinois,Inactive,3/9/2021,115023.94,charlie.johnson@example.com,-6528092427,Average,1,Charlie_Johnson
23,EMP1023,35.0,Finance-Nevada,Pending,2/3/2022,80667.01,david.garcia@example.com,-7572158623,Excellent,0,David_Garcia
24,EMP1024,30.0,Admin-Texas,Inactive,2/13/2020,91181.61,bob.brown@example.com,-1502745643,Good,1,Bob_Brown
25,EMP1025,25.0,Cloud Tech-Nevada,Pending,4/30/2020,66025.92,david.miller@example.com,-9485625727,Average,0,David_Miller
26,EMP1026,25.0,Sales-New York,Inactive,10/2/2023,83979.01,frank.miller@example.com,-7032032073,Average,0,Frank_Miller
27,EMP1027,30.0,Finance-Florida,Active,7/12/2020,56785.16,heidi.johnson@example.com,-2761707586,Excellent,1,Heidi_Johnson
28,EMP1028,40.0,Finance-Nevada,Active,10/11/2023,95741.88,grace.garcia@example.com,-7712151341,Excellent,0,Grace_Garcia
29,EMP1029,40.0,DevOps-California,Active,5/24/2021,63411.31,alice.brown@example.com,-2849939088,Excellent,1,Alice_Brown
30,EMP1030,40.0,Admin-California,Inactive,5/26/2021,111214.02,charlie.jones@example.com,-2613715040,Good,1,Charlie_Jones
31,EMP1031,25.0,DevOps-Illinois,Active,7/10/2020,114845.69,bob.smith@example.com,-6591520176,Excellent,1,Bob_Smith
32,EMP1032,40.0,Finance-Florida,Active,11/5/2024,78072.82,charlie.brown@example.com,-7490509758,Average,0,Charlie_Brown
33,EMP1033,25.0,Finance-California,Inactive,8/7/2021,79610.52,grace.johnson@example.com,-2304501895,Average,0,Grace_Johnson
34,EMP1034,30.0,Admin-California,Active,4/29/2020,90542.62,heidi.miller@example.com,-1642361031,Excellent,1,Heidi_Miller
35,EMP1035,25.0,Cloud Tech-Illinois,Inactive,10/26/2022,114357.1,frank.jones@example.com,-6642147648,Excellent,1,Frank_Jones
36,EMP1036,32.48454882571075,Cloud Tech-New York,Active,5/3/2023,54757.26,alice.brown@example.com,-2515837766,Poor,0,Alice_Brown
37,EMP1037,25.0,Sales-New York,Pending,5/2/2023,52781.92,grace.smith@example.com,-4996165925,Average,1,Grace_Smith
38,EMP1038,35.0,Admin-Nevada,Pending,10/5/2021,66708.02,frank.smith@example.com,-6108573277,Good,1,Frank_Smith
39,EMP1039,40.0,HR-Texas,Active,7/27/2022,93481.15,eva.williams@example.com,-8147617421,Poor,0,Eva_Williams
40,EMP1040,25.0,Sales-New York,Pending,6/27/2021,59271.96,bob.williams@example.com,-4386490809,Excellent,1,Bob_Williams
41,EMP1041,30.0,HR-California,Active,6/16/2022,108362.15,bob.davis@example.com,-8186617944,Excellent,0,Bob_Davis
42,EMP1042,32.48454882571075,HR-Nevada,Active,12/3/2024,59400.38,alice.johnson@example.com,-4918017225,Average,1,Alice_Johnson
43,EMP1043,32.48454882571075,Admin-California,Inactive,5/23/2023,64744.08,bob.garcia@example.com,-164597793,Excellent,0,Bob_Garcia
44,EMP1044,32.48454882571075,Finance-California,Active,7/8/2020,94399.91,eva.brown@example.com,-5232194167,Good,1,Eva_Brown
45,EMP1045,25.0,HR-New York,Pending,6/20/2021,61310.74,alice.brown@example.com,-61027768,Average,1,Alice_Brown
46,EMP1046,32.48454882571075,Cloud Tech-Texas,Active,12/13/2024,98371.37,grace.garcia@example.com,-7499564121,Excellent,0,Grace_Garcia
47,EMP1047,35.0,Sales-Illinois,Active,5/30/2022,58921.19,alice.davis@example.com,-310303722,Average,1,Alice_Davis
48,EMP1048,35.0,Admin-Nevada,Active,9/27/2023,57195.55,alice.miller@example.com,-6831472759,Excellent,0,Alice_Miller
49,EMP1049,32.48454882571075,DevOps-New York,Active,11/5/2024,61375.12,grace.miller@example.com,-1227770792,Excellent,1,Grace_Miller
50,EMP1050,40.0,Cloud Tech-New York,Pending,11/11/2021,104767.05,charlie.davis@example.com,-3496050165,Excellent,0,Charlie_Davis
51,EMP1051,35.0,Admin-Nevada,Active,2/22/2022,111051.67,david.miller@example.com,-7998407677,Good,0,David_Miller
52,EMP1052,30.0,Finance-California,Inactive,8/7/2024,105674.18,david.williams@example.com,-9973080694,Good,0,David_Williams
53,EMP1053,30.0,Finance-California,Inactive,11/5/2024,54859.45,alice.brown@example.com,-8146717956,Average,0,Alice_Brown
54,EMP1054,32.48454882571075,Finance-Nevada,Pending,11/9/2021,115746.6,frank.davis@example.com,-6024375737,Excellent,1,Frank_Davis
55,EMP1055,30.0,Sales-California,Active,8/10/2020,91759.99,eva.brown@example.com,-3959724664,Excellent,1,Eva_Brown
56,EMP1056,40.0,Sales-Illinois,Active,2/27/2022,112965.33,frank.garcia@example.com,-7293417222,Good,0,Frank_Garcia
57,EMP1057,40.0,Cloud Tech-Illinois,Pending,11/7/2023,100360.1,alice.smith@example.com,-2971674337,Excellent,0,Alice_Smith
58,EMP1058,35.0,Finance-Texas,Pending,11/7/2021,93620.88,david.williams@example.com,-54522800,Good,0,David_Williams
59,EMP1059,35.0,Sales-California,Pending,4/16/2022,72832.8,bob.jones@example.com,-5619318373,Excellent,1,Bob_Jones
60,EMP1060,30.0,Finance-Nevada,Inactive,10/19/2023,102369.42,charlie.williams@example.com,-5508428909,Average,1,Charlie_Williams
61,EMP1061,40.0,Sales-Texas,Inactive,8/10/2021,64712.79,eva.davis@example.com,-7711991807,Excellent,1,Eva_Davis
62,EMP1062,40.0,Finance-Florida,Pending,3/13/2021,85782.18,frank.jones@example.com,-1213524786,Excellent,1,Frank_Jones
63,EMP1063,25.0,HR-Illinois,Pending,7/20/2023,93348.26,charlie.smith@example.com,-1255213759,Poor,0,Charlie_Smith
64,EMP1064,35.0,Admin-New York,Active,2/20/2020,53234.96,david.davis@example.com,-3754821455,Good,0,David_Davis
65,EMP1065,40.0,Finance-Nevada,Pending,2/2/2021,100284.21,bob.johnson@example.com,-5328632665,Excellent,0,Bob_Johnson
66,EMP1066,30.0,Admin-Nevada,Pending,1/12/2020,112486.19,grace.brown@example.com,-7850720810,Excellent,1,Grace_Brown
67,EMP1067,40.0,Admin-New York,Pending,11/26/2022,82518.49,bob.smith@example.com,-5562606028,Poor,1,Bob_Smith
68,EMP1068,40.0,Admin-Florida,Pending,12/23/2022,119152.47,bob.brown@example.com,-846684549,Poor,1,Bob_Brown
69,EMP1069,32.48454882571075,DevOps-Illinois,Inactive,8/28/2024,113479.83,heidi.miller@example.com,-4892673898,Good,0,Heidi_Miller
70,EMP1070,40.0,Finance-California,Active,9/16/2024,94636.3,charlie.johnson@example.com,-7563410855,Poor,0,Charlie_Johnson
71,EMP1071,30.0,HR-Florida,Active,1/1/2024,70000.97,heidi.johnson@example.com,-2884318847,Average,1,Heidi_Johnson
72,EMP1072,32.48454882571075,Cloud Tech-New York,Active,4/18/2021,76812.47,frank.smith@example.com,-5200894345,Poor,0,Frank_Smith
73,EMP1073,25.0,Finance-Florida,Inactive,1/16/2023,82614.7,david.johnson@example.com,-8105485100,Average,1,David_Johnson
74,EMP1074,40.0,Sales-Nevada,Active,10/20/2024,111645.97,grace.jones@example.com,-7490753997,Good,1,Grace_Jones
75,EMP1075,25.0,HR-California,Inactive,10/13/2024,112414.91,heidi.johnson@example.com,-9354492682,Good,0,Heidi_Johnson
76,EMP1076,40.0,Admin-California,Inactive,9/21/2022,52031.74,david.brown@example.com,-1589357125,Good,1,David_Brown
77,EMP1077,30.0,Finance-New York,Pending,12/29/2022,51887.65,grace.brown@example.com,-6110627370,Good,0,Grace_Brown
78,EMP1078,25.0,DevOps-Florida,Active,11/10/2024,82318.89,alice.davis@example.com,-5869886496,Good,1,Alice_Davis
79,EMP1079,35.0,Admin-Florida,Inactive,11/22/2021,103286.08,grace.brown@example.com,-6776228276,Average,0,Grace_Brown
80,EMP1080,35.0,Cloud Tech-Florida,Active,3/14/2024,87759.33,grace.davis@example.com,-2881377027,Average,0,Grace_Davis
81,EMP1081,30.0,DevOps-Texas,Pending,3/23/2020,102796.32,frank.brown@example.com,-5196115939,Good,0,Frank_Brown
82,EMP1082,25.0,Sales-New York,Active,9/15/2020,83149.27,david.jones@example.com,-8215454469,Poor,1,David_Jones
83,EMP1083,40.0,DevOps-California,Inactive,12/9/2020,92412.49,david.garcia@example.com,-2296044326,Excellent,1,David_Garcia
84,EMP1084,30.0,HR-Texas,Pending,2/22/2020,115022.1,bob.davis@example.com,-185106793,Good,0,Bob_Davis
85,EMP1085,40.0,DevOps-New York,Active,4/27/2023,98343.01,grace.williams@example.com,-9756792286,Poor,0,Grace_Williams
86,EMP1086,35.0,DevOps-Illinois,Active,6/18/2024,118869.1,bob.miller@example.com,-7725199662,Excellent,1,Bob_Miller
87,EMP1087,32.48454882571075,Finance-Nevada,Inactive,5/21/2020,85417.26,frank.smith@example.com,-6580741208,Good,1,Frank_Smith
88,EMP1088,40.0,Cloud Tech-Florida,Inactive,7/25/2023,112410.25,grace.brown@example.com,-4818139889,Good,1,Grace_Brown
89,EMP1089,40.0,Admin-Nevada,Pending,8/25/2023,68905.77,charlie.johnson@example.com,-9837801819,Average,0,Charlie_Johnson
90,EMP1090,40.0,Finance-Nevada,Pending,7/3/2021,72561.32,heidi.garcia@example.com,-4339718955,Excellent,1,Heidi_Garcia
91,EMP1091,35.0,Finance-New York,Inactive,3/13/2023,92723.22,bob.brown@example.com,-9070562607,Excellent,1,Bob_Brown
92,EMP1092,40.0,HR-New York,Inactive,3/10/2021,74837.75,alice.johnson@example.com,-5641118241,Poor,0,Alice_Johnson
93,EMP1093,32.48454882571075,DevOps-California,Pending,1/21/2020,86163.91,eva.miller@example.com,-2412462094,Average,1,Eva_Miller
94,EMP1094,40.0,Finance-Illinois,Active,11/15/2023,83326.52,david.miller@example.com,-2004615264,Average,1,David_Miller
95,EMP1095,25.0,Cloud Tech-California,Active,4/8/2022,98425.1,heidi.miller@example.com,-4610339936,Average,1,Heidi_Miller
96,EMP1096,40.0,Sales-Illinois,Inactive,5/21/2022,119764.2,frank.johnson@example.com,-8861405785,Average,0,Frank_Johnson
97,EMP1097,40.0,HR-California,Inactive,4/17/2021,58445.91,frank.brown@example.com,-1706304890,Excellent,0,Frank_Brown
98,EMP1098,32.48454882571075,DevOps-New York,Active,3/19/2021,101702.33,bob.miller@example.com,-3824967182,Excellent,0,Bob_Miller
99,EMP1099,25.0,Admin-California,Active,1/9/2022,85155.05639558233,eva.jones@example.com,-2582386869,Good,0,Eva_Jones
100,EMP1100,35.0,Cloud Tech-Texas,Pending,8/21/2021,98819.22,charlie.davis@example.com,-794200748,Good,0,Charlie_Davis
101,EMP1101,25.0,Cloud Tech-Illinois,Inactive,8/19/2022,83509.99,heidi.johnson@example.com,-4653984027,Average,0,Heidi_Johnson
102,EMP1102,35.0,Finance-Texas,Active,3/31/2022,84422.26,alice.johnson@example.com,-9141612845,Average,0,Alice_Johnson
103,EMP1103,30.0,Admin-Illinois,Inactive,6/23/2020,119574.27,alice.brown@example.com,-3985547434,Average,1,Alice_Brown
104,EMP1104,32.48454882571075,Sales-Illinois,Active,5/7/2024,86580.08,grace.johnson@example.com,-5379502096,Good,1,Grace_Johnson
105,EMP1105,35.0,Sales-Florida,Inactive,3/10/2023,93471.91,heidi.johnson@example.com,-26876810,Poor,0,Heidi_Johnson
106,EMP1106,30.0,DevOps-New York,Inactive,9/14/2023,55683.12,bob.miller@example.com,-8071569561,Poor,1,Bob_Miller
107,EMP1107,30.0,Cloud Tech-Florida,Inactive,11/12/2023,91566.78,bob.brown@example.com,-175370303,Good,1,Bob_Brown
108,EMP1108,35.0,DevOps-California,Pending,10/26/2024,81782.19,david.miller@example.com,-5319433749,Good,0,David_Miller
109,EMP1109,32.48454882571075,DevOps-New York,Inactive,8/23/2020,88119.37,eva.davis@example.com,-4793036148,Good,1,Eva_Davis
110,EMP1110,30.0,Cloud Tech-Texas,Active,6/11/2024,71532.83,eva.garcia@example.com,-8728399920,Good,1,Eva_Garcia
111,EMP1111,40.0,Cloud Tech-Florida,Pending,9/14/2021,98981.36,eva.davis@example.com,-9212493842,Good,1,Eva_Davis
112,EMP1112,40.0,Cloud Tech-Illinois,Active,12/26/2024,80242.01,heidi.garcia@example.com,-894870604,Good,1,Heidi_Garcia
113,EMP1113,25.0,Cloud Tech-New York,Pending,9/8/2024,110236.18,eva.miller@example.com,-6641877579,Average,1,Eva_Miller
114,EMP1114,35.0,Sales-Texas,Active,8/21/2022,86327.47,alice.davis@example.com,-3046875062,Average,0,Alice_Davis
115,EMP1115,30.0,Sales-Florida,Pending,7/25/2024,84420.81,eva.brown@example.com,-5190361331,Average,0,Eva_Brown
116,EMP1116,40.0,HR-California,Pending,8/2/2020,110041.32,frank.smith@example.com,-5411076094,Average,0,Frank_Smith
117,EMP1117,35.0,DevOps-Florida,Pending,3/16/2020,81837.81,heidi.miller@example.com,-4317350582,Good,1,Heidi_Miller
118,EMP1118,25.0,Finance-Illinois,Active,9/8/2023,110855.72,frank.garcia@example.com,-1997179109,Poor,0,Frank_Garcia
119,EMP1119,30.0,Sales-California,Pending,3/29/2024,84894.52,alice.jones@example.com,-651207048,Excellent,1,Alice_Jones
120,EMP1120,30.0,HR-Illinois,Active,8/12/2021,80668.13,alice.garcia@example.com,-6110804660,Good,1,Alice_Garcia
121,EMP1121,25.0,DevOps-Illinois,Active,12/24/2023,61086.47,bob.jones@example.com,-9639907675,Excellent,1,Bob_Jones
122,EMP1122,25.0,Admin-Texas,Inactive,8/28/2020,95339.68,grace.johnson@example.com,-9915078592,Poor,1,Grace_Johnson
123,EMP1123,32.48454882571075,DevOps-California,Inactive,9/5/2024,83774.97,eva.davis@example.com,-1109193927,Average,0,Eva_Davis
124,EMP1124,32.48454882571075,Admin-Florida,Active,5/12/2023,85576.86,heidi.jones@example.com,-4567972319,Poor,0,Heidi_Jones
125,EMP1125,35.0,Finance-California,Pending,7/1/2021,107438.46,bob.garcia@example.com,-249685497,Good,1,Bob_Garcia
126,EMP1126,32.48454882571075,Sales-Nevada,Inactive,11/7/2024,60401.68,eva.johnson@example.com,-2274954507,Average,0,Eva_Johnson
127,EMP1127,35.0,Sales-Illinois,Inactive,7/21/2022,115299.66,frank.smith@example.com,-9203880652,Good,1,Frank_Smith
128,EMP1128,32.48454882571075,Finance-New York,Inactive,3/30/2020,72272.34,david.brown@example.com,-3315377958,Average,0,David_Brown
129,EMP1129,40.0,DevOps-Nevada,Active,10/11/2022,117537.71,grace.brown@example.com,-9594652169,Excellent,0,Grace_Brown
130,EMP1130,25.0,Finance-Texas,Pending,7/24/2022,51074.33,frank.brown@example.com,-7303379336,Excellent,1,Frank_Brown
131,EMP1131,25.0,Finance-California,Inactive,6/30/2023,98489.32,charlie.jones@example.com,-5636205014,Excellent,0,Charlie_Jones
132,EMP1132,32.48454882571075,Finance-California,Pending,1/11/2024,112120.71,frank.smith@example.com,-812473949,Poor,1,Frank_Smith
133,EMP1133,32.48454882571075,Cloud Tech-New York,Pending,11/2/2023,114465.04,alice.jones@example.com,-334234257,Good,0,Alice_Jones
134,EMP1134,40.0,Cloud Tech-Nevada,Pending,11/22/2024,57035.51,bob.davis@example.com,-3230241025,Poor,1,Bob_Davis
135,EMP1135,25.0,Cloud Tech-California,Active,8/23/2021,75092.43,eva.jones@example.com,-1534735527,Excellent,1,Eva_Jones
136,EMP1136,32.48454882571075,Finance-Illinois,Pending,6/11/2024,62603.98,david.smith@example.com,-9611223385,Good,0,David_Smith
137,EMP1137,32.48454882571075,DevOps-New York,Inactive,4/9/2023,60018.24,grace.smith@example.com,-5596309937,Excellent,0,Grace_Smith
138,EMP1138,40.0,HR-Nevada,Active,7/5/2024,82567.73,eva.davis@example.com,-4253042896,Poor,1,Eva_Davis
139,EMP1139,25.0,Finance-California,Pending,9/4/2021,94725.71,charlie.smith@example.com,-3179128684,Poor,0,Charlie_Smith
140,EMP1140,40.0,HR-New York,Inactive,10/13/2024,83824.56,eva.garcia@example.com,-7872558776,Poor,0,Eva_Garcia
141,EMP1141,32.48454882571075,HR-Nevada,Inactive,2/14/2020,118456.11,frank.smith@example.com,-4969033372,Excellent,1,Frank_Smith
142,EMP1142,25.0,Sales-Nevada,Pending,4/10/2020,113743.19,eva.brown@example.com,-6346692547,Good,1,Eva_Brown
143,EMP1143,30.0,Sales-California,Active,7/27/2023,63309.24,eva.garcia@example.com,-1214785389,Good,0,Eva_Garcia
144,EMP1144,25.0,DevOps-Nevada,Active,9/24/2021,105202.73,charlie.garcia@example.com,-7895677664,Excellent,1,Charlie_Garcia
145,EMP1145,30.0,Cloud Tech-California,Inactive,3/10/2024,79085.22,frank.davis@example.com,-7546027340,Good,1,Frank_Davis
146,EMP1146,32.48454882571075,Sales-California,Active,6/10/2021,113983.43,frank.williams@example.com,-5148881430,Excellent,1,Frank_Williams
147,EMP1147,35.0,Cloud Tech-Florida,Active,10/15/2020,102790.6,eva.williams@example.com,-1150835353,Good,0,Eva_Williams
148,EMP1148,32.48454882571075,HR-Texas,Inactive,1/29/2020,68512.1,grace.smith@example.com,-4439284043,Average,0,Grace_Smith
149,EMP1149,35.0,Sales-Florida,Pending,1/30/2022,57584.23,frank.garcia@example.com,-5669078262,Average,1,Frank_Garcia
150,EMP1150,32.48454882571075,Sales-California,Pending,3/29/2021,95335.67,alice.williams@example.com,-3373898774,Poor,0,Alice_Williams
151,EMP1151,35.0,DevOps-Florida,Active,10/13/2020,53174.28,heidi.williams@example.com,-1536637779,Average,1,Heidi_Williams
152,EMP1152,25.0,Cloud Tech-New York,Pending,10/4/2020,77205.21,heidi.smith@example.com,-5292407552,Average,0,Heidi_Smith
153,EMP1153,32.48454882571075,DevOps-Nevada,Active,12/18/2024,79041.92,grace.williams@example.com,-6668459089,Average,1,Grace_Williams
154,EMP1154,32.48454882571075,Finance-California,Active,11/14/2023,75937.1,heidi.jones@example.com,-2259999662,Excellent,1,Heidi_Jones
155,EMP1155,35.0,Cloud Tech-Nevada,Inactive,1/20/2023,113118.73,david.johnson@example.com,-6186371596,Average,0,David_Johnson
156,EMP1156,40.0,HR-New York,Active,10/2/2024,107693.38,alice.davis@example.com,-4121820969,Average,1,Alice_Davis
157,EMP1157,32.48454882571075,Cloud Tech-Texas,Inactive,5/13/2021,119217.46,david.johnson@example.com,-2316433480,Poor,0,David_Johnson
158,EMP1158,25.0,Sales-New York,Pending,3/18/2021,106913.71,david.smith@example.com,-7058025661,Average,0,David_Smith
159,EMP1159,32.48454882571075,Cloud Tech-California,Active,9/23/2020,87815.08,charlie.brown@example.com,-1286716322,Average,1,Charlie_Brown
160,EMP1160,25.0,Admin-Texas,Inactive,6/5/2024,105190.21,bob.davis@example.com,-4672994937,Good,1,Bob_Davis
161,EMP1161,30.0,HR-Texas,Active,2/28/2024,79467.24,alice.smith@example.com,-7430271692,Poor,0,Alice_Smith
162,EMP1162,40.0,Finance-California,Pending,4/30/2023,57633.78,bob.garcia@example.com,-8597779013,Poor,1,Bob_Garcia
163,EMP1163,32.48454882571075,HR-Florida,Pending,3/4/2020,54257.78,alice.brown@example.com,-7546926328,Poor,1,Alice_Brown
164,EMP1164,40.0,DevOps-Texas,Inactive,12/29/2023,113679.06,grace.johnson@example.com,-6762916031,Poor,1,Grace_Johnson
165,EMP1165,35.0,Sales-New York,Active,9/15/2020,69251.12,bob.smith@example.com,-4841376814,Poor,1,Bob_Smith
166,EMP1166,40.0,Sales-Illinois,Inactive,7/18/2022,85388.58,frank.garcia@example.com,-1185672437,Poor,1,Frank_Garcia
167,EMP1167,32.48454882571075,DevOps-New York,Inactive,7/13/2022,112166.37,bob.davis@example.com,-701765635,Excellent,0,Bob_Davis
168,EMP1168,40.0,Finance-Nevada,Active,10/2/2021,79873.48,heidi.davis@example.com,-41257770,Average,0,Heidi_Davis
169,EMP1169,30.0,DevOps-Florida,Active,7/5/2020,108224.03,frank.miller@example.com,-1837274219,Poor,1,Frank_Miller
170,EMP1170,35.0,Admin-Illinois,Active,4/16/2023,116963.72,bob.garcia@example.com,-9124186209,Average,1,Bob_Garcia
171,EMP1171,40.0,HR-Nevada,Inactive,11/12/2024,114109.06,bob.jones@example.com,-4275230836,Average,1,Bob_Jones
172,EMP1172,32.48454882571075,HR-California,Active,3/29/2023,85518.88,eva.williams@example.com,-816470899,Excellent,0,Eva_Williams
173,EMP1173,30.0,Cloud Tech-California,Pending,1/22/2022,58041.97,heidi.brown@example.com,-6335331059,Poor,1,Heidi_Brown
174,EMP1174,40.0,Sales-Illinois,Pending,10/14/2023,94988.94,david.garcia@example.com,-531312205,Good,0,David_Garcia
175,EMP1175,25.0,Admin-California,Pending,4/10/2024,71628.93,eva.miller@example.com,-8155839385,Excellent,0,Eva_Miller
